Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Personality (Class label)
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
1,0,0,0,0,dependable
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,1,lively
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
1,0,0,0,0,dependable
0,1,0,0,0,dependable
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
1,0,0,0,0,dependable
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,4,0,0,0,serious
0,0,0,0,0,responsible
1,1,0,0,0,extraverted
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
0,0,0,0,0,responsible
1,0,0,0,0,dependable
